Id. Cliente,Id. Producto,Fecha,current_delta_t,total_purchases,Period_x,mean,std,avg_delta_t_customer_product,Cluster,Period_y,mean_gr,std_gr,Category,Potencial_H,F_in,Status,Grading
3,4566,2024-02-23,676,1,,,,,1,Christmas,169.0,52.340870920382315,Categoria C1,2223.12,0.0,Lost Customer,0.0
26,3408,2025-12-02,28,2,Christmas,180.0,,180.0,1,Christmas,175.0,49.150411654270975,Categoria C1,2223.12,0.3155555555555556,Habitual,701.5178666666667
26,4566,2025-01-31,333,1,,,,,1,Christmas,169.0,52.340870920382315,Categoria C1,2223.12,0.0,Lost Customer,0.0
26,4567,2025-01-31,333,1,,,,,1,Christmas,180.0,48.621677573534576,Categoria C1,2223.12,0.0,Lost Customer,0.0
30,4565,2024-03-08,662,1,,,,,4,Christmas,124.0,56.23303684981726,Categoria C1,2223.12,0.0,Lost Customer,0.0
30,4566,2025-03-07,298,2,,,,180.0,4,Christmas,107.0,57.66587729631683,Categoria C1,2223.12,0.0,Lost Customer,0.0
30,4911,2025-09-12,109,2,,,,180.0,4,Christmas,157.0,52.22722564517045,Categoria C2,8324.140000000001,0.6942675159235668,Out-of-period / Holiday behavior,5779.18
30,4911,2025-09-12,109,2,,,,180.0,4,Christmas,157.0,52.22722564517045,Categoria C2,1086.44,0.6942675159235668,Out-of-period / Holiday behavior,754.28
30,5099,2025-11-11,49,5,,,,130.25,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,0.593939393939394,Out-of-period / Holiday behavior,0.0
30,5115,2025-11-11,49,4,,,,120.66666666666667,4,Christmas,82.0,65.05824973245343,Categoria T1,0.0,0.5975609756097561,Out-of-period / Holiday behavior,0.0
46,3408,2025-05-29,215,3,,,,180.0,4,Christmas,125.5,57.18415060191761,Categoria C1,4546.72,0.0,Lost Customer,0.0
46,4567,2024-02-21,678,1,,,,,4,Christmas,180.0,42.96704948481452,Categoria C1,4546.72,0.0,Lost Customer,0.0
46,4911,2025-09-25,96,1,,,,,4,Christmas,157.0,52.22722564517045,Categoria C2,0.0,0.6114649681528662,Retention (1st historic purchase),0.0
46,4911,2025-09-25,96,1,,,,,4,Christmas,157.0,52.22722564517045,Categoria C2,2223.12,0.6114649681528662,Retention (1st historic purchase),1359.36
46,5099,2024-11-18,407,1,,,,,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,0.0,Lost Customer,0.0
46,5115,2024-11-18,407,1,,,,,4,Christmas,82.0,65.05824973245343,Categoria T1,0.0,0.0,Lost Customer,0.0
66,3408,2025-10-31,60,3,,,,180.0,1,Christmas,175.0,49.150411654270975,Categoria C1,3410.04,0.34285714285714286,Out-of-period / Holiday behavior,1169.1565714285714
66,4567,2025-01-24,340,1,,,,,1,Christmas,180.0,48.621677573534576,Categoria C1,3410.04,0.0,Lost Customer,0.0
69,4911,2025-03-07,298,1,,,,,4,Christmas,157.0,52.22722564517045,Categoria C2,5338.0,0.0,Lost Customer,0.0
69,4911,2025-03-07,298,1,,,,,4,Christmas,157.0,52.22722564517045,Categoria C2,1086.44,0.0,Lost Customer,0.0
69,4912,2025-11-04,56,6,,,,132.6,4,Christmas,96.0,58.542579212150926,Categoria C2,5338.0,0.5833333333333334,Out-of-period / Holiday behavior,3113.8333333333335
69,4912,2025-11-04,56,6,,,,132.6,4,Christmas,96.0,58.542579212150926,Categoria C2,1086.44,0.5833333333333334,Out-of-period / Holiday behavior,633.7566666666668
69,5099,2025-02-19,314,3,,,,97.5,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,0.0,Lost Customer,0.0
69,5103,2025-11-03,57,4,,,,139.0,4,Christmas,149.5,63.53358239509262,Categoria T1,0.0,0.38127090301003347,Out-of-period / Holiday behavior,0.0
69,5115,2025-11-03,57,3,,,,142.5,4,Christmas,82.0,65.05824973245343,Categoria T1,0.0,0.6951219512195121,Out-of-period / Holiday behavior,0.0
96,4567,2025-08-13,139,2,,,,180.0,4,Christmas,180.0,42.96704948481452,Categoria C1,3410.04,0.7722222222222223,Out-of-period / Holiday behavior,2633.308666666667
96,4912,2025-04-22,252,2,,,,180.0,4,Christmas,96.0,58.542579212150926,Categoria C2,8007.0,0.0,Lost Customer,0.0
96,4912,2025-04-22,252,2,,,,180.0,4,Christmas,96.0,58.542579212150926,Categoria C2,1667.3400000000001,0.0,Lost Customer,0.0
96,5099,2025-10-21,70,2,,,,180.0,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,0.8484848484848485,Out-of-period / Holiday behavior,0.0
96,5100,2025-06-12,201,1,,,,,4,Christmas,86.5,56.53340732514581,Categoria T1,0.0,0.0,Lost Customer,0.0
96,5108,2024-08-05,512,1,,,,,4,Christmas,87.0,60.88248033129335,Categoria T1,0.0,0.0,Lost Customer,0.0
96,5117,2025-02-18,315,8,Christmas,117.0,,51.57142857142857,4,Christmas,81.0,66.37996685747892,Categoria T1,0.0,0.0,Lost Customer,0.0
100,4565,2025-05-21,223,5,Christmas,127.0,,118.5,4,Christmas,124.0,56.23303684981726,Categoria C1,2223.12,0.0,Lost Customer,0.0
100,4566,2025-05-21,223,5,Christmas,127.0,,118.5,4,Christmas,107.0,57.66587729631683,Categoria C1,2223.12,0.0,Lost Customer,0.0
100,4567,2025-05-21,223,2,,,,167.0,4,Christmas,180.0,42.96704948481452,Categoria C1,2223.12,0.0,Lost Customer,0.0
100,5103,2025-03-21,284,2,,,,106.0,4,Christmas,149.5,63.53358239509262,Categoria T1,0.0,0.0,Lost Customer,0.0
100,5105,2024-05-02,607,1,,,,,4,Christmas,111.5,58.12056434688156,Categoria T1,0.0,0.0,Lost Customer,0.0
100,5107,2024-06-06,572,2,,,,35.0,4,Christmas,168.0,72.37358563340563,Categoria T1,0.0,0.0,Lost Customer,0.0
109,3408,2024-07-02,546,2,,,,119.0,1,Christmas,175.0,49.150411654270975,Categoria C1,3410.04,0.0,Lost Customer,0.0
109,4565,2025-11-26,34,6,,,,126.2,1,Christmas,173.0,57.30797752299166,Categoria C1,3410.04,0.19653179190751446,Out-of-period / Holiday behavior,670.1812716763006
118,3408,2025-06-05,208,3,,,,,1,Christmas,175.0,49.150411654270975,Categoria C1,3410.04,0.0,Lost Customer,0.0
119,3408,2025-11-13,47,4,,,,180.0,4,Christmas,125.5,57.18415060191761,Categoria C1,3410.04,0.3745019920318725,Out-of-period / Holiday behavior,1277.0667729083666
119,4565,2025-06-05,208,2,,,,180.0,4,Christmas,124.0,56.23303684981726,Categoria C1,3410.04,0.0,Lost Customer,0.0
119,4567,2025-07-10,173,3,,,,135.0,4,Christmas,180.0,42.96704948481452,Categoria C1,3410.04,0.9611111111111111,Out-of-period / Holiday behavior,3277.4273333333335
119,5103,2025-06-05,208,1,,,,,4,Christmas,149.5,63.53358239509262,Categoria T1,0.0,0.0,Lost Customer,0.0
123,4565,2025-10-28,63,3,,,,180.0,0,Christmas,92.0,65.02356392528957,Categoria C1,5683.400000000001,0.6847826086956522,Out-of-period / Holiday behavior,3891.8934782608703
123,4566,2025-10-28,63,3,,,,180.0,0,Christmas,91.0,61.174281110461045,Categoria C1,5683.400000000001,0.6923076923076923,Out-of-period / Holiday behavior,3934.661538461539
123,4911,2025-10-28,63,1,,,,,0,Christmas,117.0,54.71497575096394,Categoria C2,13345.0,0.5384615384615384,Retention (1st historic purchase),7185.7692307692305
123,4911,2025-10-28,63,1,,,,,0,Christmas,117.0,54.71497575096394,Categoria C2,2778.9,0.5384615384615384,Retention (1st historic purchase),1496.3307692307692
132,3408,2025-05-29,215,4,,,,127.66666666666667,1,Christmas,175.0,49.150411654270975,Categoria C1,2223.12,0.0,Lost Customer,0.0
132,4911,2025-02-18,315,6,,,,73.6,1,Christmas,180.0,58.857149278265425,Categoria C2,0.0,0.0,Lost Customer,0.0
132,4911,2025-02-18,315,6,,,,73.6,1,Christmas,180.0,58.857149278265425,Categoria C2,1086.44,0.0,Lost Customer,0.0
132,4912,2025-10-06,85,7,,,,99.66666666666667,1,Christmas,179.5,46.660641306720926,Categoria C2,0.0,0.4735376044568245,Out-of-period / Holiday behavior,0.0
132,4912,2025-10-06,85,7,,,,99.66666666666667,1,Christmas,179.5,46.660641306720926,Categoria C2,1086.44,0.4735376044568245,Out-of-period / Holiday behavior,514.4701949860724
149,3408,2025-04-23,251,2,,,,180.0,1,Christmas,175.0,49.150411654270975,Categoria C1,2223.12,0.0,Lost Customer,0.0
149,4911,2025-11-04,56,2,,,,180.0,1,Christmas,180.0,58.857149278265425,Categoria C2,5338.0,0.3111111111111111,Out-of-period / Holiday behavior,1660.7111111111112
149,4911,2025-11-04,56,2,,,,180.0,1,Christmas,180.0,58.857149278265425,Categoria C2,1086.44,0.3111111111111111,Out-of-period / Holiday behavior,338.0035555555556
171,4566,2025-05-13,231,1,,,,,1,Christmas,169.0,52.340870920382315,Categoria C1,3410.04,0.0,Lost Customer,0.0
188,4565,2025-05-16,228,2,,,,180.0,1,Christmas,173.0,57.30797752299166,Categoria C1,2223.12,0.0,Lost Customer,0.0
188,4567,2024-10-02,454,1,,,,,1,Christmas,180.0,48.621677573534576,Categoria C1,2223.12,0.0,Lost Customer,0.0
188,4911,2024-10-02,454,1,,,,,1,Christmas,180.0,58.857149278265425,Categoria C2,0.0,0.0,Lost Customer,0.0
188,4911,2024-10-02,454,1,,,,,1,Christmas,180.0,58.857149278265425,Categoria C2,1086.44,0.0,Lost Customer,0.0
188,4912,2024-10-02,454,1,,,,,1,Christmas,179.5,46.660641306720926,Categoria C2,0.0,0.0,Lost Customer,0.0
188,4912,2024-10-02,454,1,,,,,1,Christmas,179.5,46.660641306720926,Categoria C2,1086.44,0.0,Lost Customer,0.0
191,5099,2024-02-27,672,2,,,,46.0,1,Christmas,124.0,59.57919715104284,Categoria T1,0.0,0.0,Lost Customer,0.0
191,5115,2024-02-27,672,1,,,,,1,Christmas,180.0,62.62648739213244,Categoria T1,0.0,0.0,Lost Customer,0.0
238,4565,2025-12-16,14,8,Christmas,78.0,,80.85714285714286,3,Christmas,81.0,61.08429182357264,Categoria C1,4546.72,0.352326685660019,Habitual,1601.9307882241217
238,4566,2025-03-12,293,2,,,,154.0,3,Christmas,66.5,53.15579255339402,Categoria C1,4546.72,0.0,Lost Customer,0.0
238,4567,2025-03-12,293,2,,,,180.0,3,Christmas,134.0,60.35512190974964,Categoria C1,4546.72,0.0,Lost Customer,0.0
238,4911,2025-09-29,92,3,,,,97.0,3,Christmas,84.0,64.30773401956766,Categoria C2,3975.2400000000002,1.0952380952380953,Out-of-period / Holiday behavior,4353.834285714286
238,4911,2025-09-29,92,3,,,,97.0,3,Christmas,84.0,64.30773401956766,Categoria C2,2223.12,1.0952380952380953,Out-of-period / Holiday behavior,2434.8457142857146
238,5099,2025-11-20,40,18,,,,39.23529411764706,3,Christmas,34.0,46.630887552276384,Categoria T1,0.0,1.1764705882352942,Out-of-period / Holiday behavior,0.0
238,5100,2024-06-19,559,1,,,,,3,Christmas,33.0,25.26841204070457,Categoria T1,0.0,0.0,Lost Customer,0.0
238,5102,2025-10-29,62,9,,,,63.875,3,Christmas,71.0,69.09219036353362,Categoria T1,0.0,0.8732394366197183,Out-of-period / Holiday behavior,0.0
238,5115,2025-11-20,40,15,,,,47.642857142857146,3,Christmas,41.5,53.38823534817658,Categoria T1,0.0,0.963855421686747,Out-of-period / Holiday behavior,0.0
238,5116,2025-10-29,62,5,,,,76.25,3,Christmas,38.5,38.10749688291424,Categoria T1,0.0,1.6103896103896105,Out-of-period / Holiday behavior,0.0
238,5118,2025-10-29,62,11,,,,64.5,3,Christmas,71.0,74.45100658118989,Categoria T1,0.0,0.8732394366197183,Out-of-period / Holiday behavior,0.0
238,5119,2025-04-02,272,4,,,,100.33333333333333,3,Christmas,39.0,63.977079228944696,Categoria T1,0.0,0.0,Lost Customer,0.0
255,5099,2025-12-19,11,9,Christmas,38.0,,68.125,3,Christmas,34.0,46.630887552276384,Categoria T1,0.0,0.6130030959752322,Habitual,0.0
255,5100,2025-12-19,11,23,Christmas,25.5,13.435028842544403,31.227272727272727,3,Christmas,33.0,25.26841204070457,Categoria T1,0.0,0.7647058823529411,Habitual,0.0
255,5103,2025-11-24,36,1,,,,,3,Christmas,61.5,57.07920562066114,Categoria T1,0.0,0.5853658536585366,Retention (1st historic purchase),0.0
255,5107,2025-04-25,249,1,,,,,3,Christmas,33.0,59.77192490238162,Categoria T1,0.0,0.0,Lost Customer,0.0
290,3408,2025-01-28,336,4,,,,,4,Christmas,125.5,57.18415060191761,Categoria C1,3410.04,0.0,Lost Customer,0.0
290,4567,2025-05-30,214,3,,,,128.5,4,Christmas,180.0,42.96704948481452,Categoria C1,3410.04,0.0,Lost Customer,0.0
290,5099,2025-10-17,74,4,,,,,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,0.896969696969697,Out-of-period / Holiday behavior,0.0
290,5108,2024-02-07,692,2,,,,14.0,4,Christmas,87.0,60.88248033129335,Categoria T1,0.0,0.0,Lost Customer,0.0
290,5118,2024-05-15,594,2,,,,68.0,4,Christmas,76.0,62.612226514403,Categoria T1,0.0,0.0,Lost Customer,0.0
290,5382,2025-04-28,246,1,,,,,4,Christmas,114.0,70.38094928301281,Categoria T1,0.0,0.0,Lost Customer,0.0
300,3408,2025-11-21,39,5,,,,68.25,1,Christmas,175.0,49.150411654270975,Categoria C1,2223.12,0.22285714285714286,Out-of-period / Holiday behavior,495.4381714285714
300,4565,2025-11-21,39,7,,,,58.833333333333336,1,Christmas,173.0,57.30797752299166,Categoria C1,2223.12,0.2254335260115607,Out-of-period / Holiday behavior,501.1657803468208
300,4567,2024-07-23,525,1,,,,,1,Christmas,180.0,48.621677573534576,Categoria C1,2223.12,0.0,Lost Customer,0.0
317,5099,2025-03-03,302,2,,,,180.0,1,Christmas,124.0,59.57919715104284,Categoria T1,0.0,0.0,Lost Customer,0.0
317,5108,2025-03-03,302,1,,,,,1,Christmas,111.0,64.30936513793651,Categoria T1,0.0,0.0,Lost Customer,0.0
317,5115,2024-04-15,624,1,,,,,1,Christmas,180.0,62.62648739213244,Categoria T1,0.0,0.0,Lost Customer,0.0
351,4565,2024-10-22,434,1,,,,,1,Christmas,173.0,57.30797752299166,Categoria C1,5683.400000000001,0.0,Lost Customer,0.0
351,4566,2024-10-22,434,1,,,,,1,Christmas,169.0,52.340870920382315,Categoria C1,5683.400000000001,0.0,Lost Customer,0.0
351,4567,2024-10-22,434,1,,,,,1,Christmas,180.0,48.621677573534576,Categoria C1,5683.400000000001,0.0,Lost Customer,0.0
356,3408,2025-04-08,266,2,,,,180.0,4,Christmas,125.5,57.18415060191761,Categoria C1,2223.12,0.0,Lost Customer,0.0
356,4566,2025-04-08,266,2,,,,180.0,4,Christmas,107.0,57.66587729631683,Categoria C1,2223.12,0.0,Lost Customer,0.0
356,5099,2025-08-01,151,2,,,,180.0,4,Christmas,82.5,62.479329271600584,Categoria T1,0.0,1.8303030303030303,Out-of-period / Holiday behavior,0.0
356,5100,2025-08-01,151,3,,,,180.0,4,Christmas,86.5,56.53340732514581,Categoria T1,0.0,1.745664739884393,Out-of-period / Holiday behavior,0.0
356,5108,2025-09-17,104,1,,,,,4,Christmas,87.0,60.88248033129335,Categoria T1,0.0,1.1954022988505748,Retention (1st historic purchase),0.0
367,3408,2025-05-12,232,2,,,,180.0,0,Christmas,147.0,59.37090372395007,Categoria C1,3410.04,0.0,Lost Customer,0.0
367,4565,2025-05-12,232,2,,,,180.0,0,Christmas,92.0,65.02356392528957,Categoria C1,3410.04,0.0,Lost Customer,0.0
367,4567,2024-02-07,692,1,,,,,0,Christmas,176.0,45.836846352214096,Categoria C1,3410.04,0.0,Lost Customer,0.0
367,4911,2025-01-15,349,2,,,,180.0,0,Christmas,117.0,54.71497575096394,Categoria C2,18494.600000000002,0.0,Lost Customer,0.0
367,4911,2025-01-15,349,2,,,,180.0,0,Christmas,117.0,54.71497575096394,Categoria C2,1667.3400000000001,0.0,Lost Customer,0.0
369,4911,2024-10-24,432,1,,,,,1,Christmas,180.0,58.857149278265425,Categoria C2,0.0,0.0,Lost Customer,0.0
